国家/地区,点击次数,展示,点击率,排名
挪威,1,33,3.03%,7.55
瑞士,1,32,3.12%,7
新西兰,1,28,3.57%,7.39
匈牙利,1,26,3.85%,6.38
罗马尼亚,1,25,4%,6.52
捷克,1,21,4.76%,7.67
台湾,1,19,5.26%,4.26
肯尼亚,1,19,5.26%,5.79
克罗地亚,1,18,5.56%,5.83
塞尔维亚,1,17,5.88%,5
哈萨克斯坦,1,15,6.67%,8.27
加纳,1,9,11.11%,4.78
拉脱维亚,1,9,11.11%,5.67
卢森堡,1,7,14.29%,5.86
格鲁吉亚,1,7,14.29%,9.86
也门,1,6,16.67%,6.33
缅甸,1,6,16.67%,7.33
叙利亚,1,5,20%,4
乌兹别克斯坦,1,5,20%,7.6
蒙古,1,4,25%,4.25
马耳他,1,4,25%,6
波多黎各,1,4,25%,6
摩尔多瓦,1,4,25%,28.5
特立尼达和多巴哥,1,3,33.33%,2
危地马拉,1,3,33.33%,5.67
科特迪瓦,1,3,33.33%,7
乌拉圭,1,3,33.33%,7
科索沃,1,2,50%,1
阿富汗,1,2,50%,3
喀麦隆,1,2,50%,3.5
马达加斯加,1,2,50%,5.5
马尔代夫,1,2,50%,8
关岛,1,2,50%,10
法属圭亚那,1,1,100%,1
巴布亚新几内亚,1,1,100%,1
阿根廷,0,16,0%,6.88
阿尔及利亚,0,16,0%,8
约旦,0,16,0%,9
立陶宛,0,14,0%,6.71
尼日利亚,0,13,0%,13
伊拉克,0,12,0%,7.67
委内瑞拉,0,11,0%,2.73
科威特,0,11,0%,11.27
秘鲁,0,10,0%,6.7
毛里求斯,0,10,0%,7.8
黎巴嫩,0,8,0%,5.12
巴林,0,8,0%,5.38
柬埔寨,0,8,0%,8.88
厄瓜多尔,0,8,0%,13.38
亚美尼亚,0,7,0%,12
多米尼加共和国,0,6,0%,5.5
赞比亚,0,6,0%,5.83
马其顿,0,6,0%,7.5
阿尔巴尼亚,0,5,0%,5.8
巴拿马,0,5,0%,6.8
阿塞拜疆,0,5,0%,9.4
利比里亚,0,4,0%,4.25
洪都拉斯,0,4,0%,6.5
荷属圣马丁岛,0,4,0%,7
津巴布韦,0,4,0%,7
苏里南,0,4,0%,9
塞浦路斯,0,3,0%,6.33
牙买加,0,3,0%,7.67
巴巴多斯,0,3,0%,8.33
巴哈马,0,3,0%,8.67
索马里,0,2,0%,1
加勒比荷兰,0,2,0%,4
佛得角,0,2,0%,4
巴拉圭,0,2,0%,5.5
阿鲁巴,0,2,0%,6
玻利维亚,0,2,0%,6
尼加拉瓜,0,2,0%,6
苏丹,0,2,0%,6.5
圣卢西亚,0,2,0%,9.5
土库曼斯坦,0,2,0%,10
毛里塔尼亚,0,2,0%,10.5
老挝,0,1,0%,1
格恩西岛,0,1,0%,2
库拉索,0,1,0%,3
法罗群岛,0,1,0%,3
塞舌尔,0,1,0%,5
不丹,0,1,0%,6
圭亚那,0,1,0%,6
利比亚,0,1,0%,6
澳门,0,1,0%,6
刚果 - 金沙萨,0,1,0%,7
刚果 - 布拉柴维尔,0,1,0%,7
斐济,0,1,0%,7
吉尔吉斯斯坦,0,1,0%,7
多哥,0,1,0%,7
圣文森特和格林纳丁斯,0,1,0%,9
直布罗陀,0,1,0%,10
泽西岛,0,1,0%,10
圣多美和普林西比,0,1,0%,10
文莱,0,1,0%,11
马拉维,0,1,0%,11
塔吉克斯坦,0,1,0%,11
